indice_tiempo,empresa,direccion,localidad,provincia,region,producto,precio,fecha_vigencia,empresabandera,latitud,longitud,geojson,abreviatura_provincia,latitud_rad,longitud_rad,cantidad_estaciones_alrededor
2024-09,SERVINORTE LOS NIETOS SRL,AV BOLIVIA Nº 20,SALTA,SALTA,NOA,Nafta (súper) entre 92 y 95 Ron,1106.0,2024-09-01 00:00:00,YPF,-24.76886,-65.411859,"{""type"":""Point"",""coordinates"":[-65.411859,-24.76886]}",S,-0.4322981589655227,-1.1416523094002857,4
2024-09,SERVINORTE S.A.,PARAGUAY 1676 Y ARTURO CAPDEVILA,CAPITAL FEDERAL,CAPITAL FEDERAL,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1059.0,2024-09-01 00:00:00,YPF,-34.59864,-58.390564,"{""type"":""Point"",""coordinates"":[-58.390564,-34.59864]}",CABA,-0.6038601847122109,-1.0191075938964702,4
2024-09,SERVI-OESTE S.A.,JUAN B JUSTO 3501,CORDOBA,CORDOBA,CENTRO,Nafta (súper) entre 92 y 95 Ron,1135.0,2024-09-02 15:38:00,PUMA,-31.383869,-64.176113,"{""type"":""Point"",""coordinates"":[-64.176113,-31.383869]}",CBA,-0.5477518460645803,-1.1200844729819357,7
2024-09,SERVIOESTE S.A.,MAESTRO VIDAL 1092,CORDOBA,CORDOBA,CENTRO,Nafta (súper) entre 92 y 95 Ron,1135.0,2024-09-02 15:37:00,PUMA,-31.41863,-64.2273,"{""type"":""Point"",""coordinates"":[-64.2273,-31.41863]}",CBA,-0.548358539965866,-1.120977854666154,3
2024-09,SERVIOESTE SA,Ricardo Balbin 4500,CORDOBA,CORDOBA,CENTRO,Nafta (súper) entre 92 y 95 Ron,1135.0,2024-09-02 15:39:00,PUMA,-31.39329,-64.095911,"{""type"":""Point"",""coordinates"":[-64.095911,-31.39329]}",CBA,-0.5479162735334107,-1.1186846840152511,3
2024-09,SERVIQUIL S.R.L.,Av. Mosconi 2700,QUILMES,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1149.0,2024-09-04 19:00:00,AXION,-34.753022,-58.289601,"{""type"":""Point"",""coordinates"":[-58.289601,-34.753022]}",BA,-0.6065546589180248,-1.0173454571237792,4
2024-09,SERVI-RUTA S.R.L.,AV. RIVADAVIA 21190,CASTELAR,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1095.0,2024-09-01 00:00:00,YPF,-34.65763,-58.65883,"{""type"":""Point"",""coordinates"":[-58.65883,-34.65763]}",BA,-0.6048897544379623,-1.0237897188676255,3
2024-08,SERVIS GS SRL,Av. Crovara 2406,LA MATANZA,BUENOS AIRES,,Nafta (súper) entre 92 y 95 Ron,1066.0,2024-08-02 08:37:00,DAPSA S.A.,-34.687634,-58.522049,"{""type"":""Point"",""coordinates"":[-58.522049,-34.687634]}",BA,-0.6054134230267307,-1.0214024400634552,3
2024-08,SERVIS G.S. S.R.L.,MONSEÑOR BUFANO 4295,SAN JUSTO,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1066.0,2024-08-02 08:33:00,DAPSA S.A.,-34.69111,-58.553455,"{""type"":""Point"",""coordinates"":[-58.553455,-34.69111]}",BA,-0.6054740906715301,-1.0219505781683365,3
2024-09,SERVIS S.A.,BRAGE VILLAR 701,HASENKAMP,ENTRE RIOS,CENTRO,Nafta (súper) entre 92 y 95 Ron,1168.0,2024-09-01 20:37:00,SHELL C.A.P.S.A.,-31.514204,-59.837679,"{""type"":""Point"",""coordinates"":[-59.837679,-31.514204]}",ER,-0.5500266209451671,-1.044364515301468,7
2024-09,SERVI-SUD S.R.L.,O HIGGINS 3910,CORDOBA,CORDOBA,CENTRO,Nafta (súper) entre 92 y 95 Ron,1135.0,2024-09-02 15:41:00,PUMA,-31.458672,-64.168987,"{""type"":""Point"",""coordinates"":[-64.168987,-31.458672]}",CBA,-0.5490574047049496,-1.1199601008194386,3
2024-09,SERVISUR S.R.L.,AV. EX COMBATIENTES DE MALVINAS 3897,SALTA,SALTA,NOA,Nafta (súper) entre 92 y 95 Ron,1106.0,2024-09-01 00:00:00,YPF,-24.84127,-65.43408,"{""type"":""Point"",""coordinates"":[-65.43408,-24.84127]}",S,-0.43356195187689184,-1.1420401390133712,9
2024-08,SERVISUR S.R.L.,AV. POLONIA 2370,SALTA,SALTA,NOA,Nafta (súper) entre 92 y 95 Ron,1066.0,2024-08-01 15:00:00,REFINOR,-24.81867,-65.41089,"{""type"":""Point"",""coordinates"":[-65.41089,-24.81867]}",S,-0.43316750746594107,-1.1416353971598336,4
2024-09,SERVISUR S.R.L.,SANTIAGO MARZO 936,SANTA ROSA,LA PAMPA,PATAGONIA,Nafta (súper) entre 92 y 95 Ron,898.0,2024-09-03 09:40:00,PUMA,-36.63536,-64.29788,"{""type"":""Point"",""coordinates"":[-64.29788,-36.63536]}",LP,-0.6394076546534297,-1.1222097080522118,9
2024-09,SERVMARQUEZ S.R.L.,Av Marquez 4115,JOSE LEON SUAREZ,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1095.0,2024-09-02 15:43:00,PUMA,-34.54496,-58.58172,"{""type"":""Point"",""coordinates"":[-58.58172,-34.54496]}",BA,-0.6029232919697404,-1.0224438954814126,4
2024-09,SEVEN SAS,"INTERSECCION DE LAS RUTAS PROVINCIALES 45, 47 Y 53 0",PERICO,JUJUY,,Nafta (súper) entre 92 y 95 Ron,1126.0,2024-09-01 13:20:00,SHELL C.A.P.S.A.,-24.39058,-65.14934,"{""type"":""Point"",""coordinates"":[-65.14934,-24.39058]}",J,-0.42569592747107854,-1.1370704885012424,3
2024-09,S.E.W COMBUSTIBLES S.A.,AVENIDA DEL VALLE 3699,OLAVARRIA,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1199.0,2024-09-02 08:29:00,SHELL C.A.P.S.A.,-36.903557,-60.319981,"{""type"":""Point"",""coordinates"":[-60.319981,-36.903557]}",BA,-0.644088575347401,-1.0527822731904217,7
2024-09,SHANKO SRL,Ruta Nacional N°9 Km 1147,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,,Nafta (súper) entre 92 y 95 Ron,1134.0,2024-09-01 11:57:00,AXION,-27.771906,-64.344812,"{""type"":""Point"",""coordinates"":[-64.344812,-27.771906]}",SE,-0.48471119925436834,-1.1230288259767576,3
2024-09,SHELL CAZADORES DE COMERCIAL CHACABUCO SH,CAZADORES CORRENTINOS 4390,CORRIENTES,CORRIENTES,NEA,Nafta (súper) entre 92 y 95 Ron,1146.0,2024-09-03 06:00:00,SHELL C.A.P.S.A.,-27.487395,-58.799544,"{""type"":""Point"",""coordinates"":[-58.799544,-27.487395]}",Cts,-0.4797455455462267,-1.0262456414712766,3
2024-08,SHELL DON LUCA´S,RUTA NACIONAL 226 Y PROVINCIAL 55,BALCARCE,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1170.0,2024-08-01 12:32:00,SHELL C.A.P.S.A.,-37.818149,-58.219553,"{""type"":""Point"",""coordinates"":[-58.219553,-37.818149]}",BA,-0.660051217059801,-1.016122888889342,8
2024-09,SHELL RIO CEBALLOS,AV SAN MARTIN   1501,RIO CEBALLOS,CORDOBA,CENTRO,Nafta (súper) entre 92 y 95 Ron,1146.0,2024-09-02 12:33:00,SHELL C.A.P.S.A.,-31.19361,-64.31371,"{""type"":""Point"",""coordinates"":[-64.31371,-31.19361]}",CBA,-0.5444312000830284,-1.1224859936728022,3
2024-09,SHELL SANTA LUCÍA S.R.L.,ruta provincial nº27 km 102,SANTA LUCIA,CORRIENTES,NEA,Nafta (súper) entre 92 y 95 Ron,1175.0,2024-09-01 08:00:00,SHELL C.A.P.S.A.,-28.97165,-59.09655,"{""type"":""Point"",""coordinates"":[-59.09655,-28.97165]}",Cts,-0.5056506822354152,-1.031429374069455,3
2024-09,SHIGA MOTORS S.A.,"Calle Guido 490 y Colectora, Acceso Norte Km 53",PILAR,BUENOS AIRES,,Nafta (súper) entre 92 y 95 Ron,1133.0,2024-09-01 00:00:00,YPF,-34.448934,-58.896504,"{""type"":""Point"",""coordinates"":[-58.896504,-34.448934]}",BA,-0.6012473221022203,-1.0279379127140105,3
2024-09,SIAL S.R.L.,CORDOBA 3790,MAR DEL PLATA,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1226.0,2024-09-01 14:00:00,SHELL C.A.P.S.A.,-38.01616,-57.56022,"{""type"":""Point"",""coordinates"":[-57.56022,-38.01616]}",BA,-0.6635071609649675,-1.0046153571722904,3
2024-09,SIK COMBUSTIBLES S.R.L.,Velez Sarfield 851,CONCORDIA,ENTRE RIOS,CENTRO,Nafta (súper) entre 92 y 95 Ron,1145.0,2024-09-01 14:00:00,AXION,-31.390998,-58.035661,"{""type"":""Point"",""coordinates"":[-58.035661,-31.390998]}",ER,-0.547876270586955,-1.0129133680212647,5
2024-09,SILFA SA,AV PTE PERON 3102,SAN FERNANDO,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1144.0,2024-09-01 13:02:00,SHELL C.A.P.S.A.,-34.452818,-58.538881,"{""type"":""Point"",""coordinates"":[-58.538881,-34.452818]}",BA,-0.6013151106903677,-1.0216962138831507,3
2024-09,SILVESTRE ALBERTO J. Y OTROS S.H.,DR.BORSOTTI 285,CERRITO,ENTRE RIOS,CENTRO,Nafta (súper) entre 92 y 95 Ron,1179.0,2024-09-01 00:00:00,AXION,-31.58528,-60.0725,"{""type"":""Point"",""coordinates"":[-60.0725,-31.58528]}",ER,-0.5512671311643146,-1.0484629149042937,7
2024-09,SILVIO DERKA E HIJOS S.C.C.,SAN MARTIN 600,JUAN JOSE CASTELLI,CHACO,NEA,Nafta (súper) entre 92 y 95 Ron,1146.0,2024-09-01 00:00:00,YPF,-25.9463,-60.61833,"{""type"":""Point"",""coordinates"":[-60.61833,-25.9463]}",CHO,-0.45284836371020476,-1.0579894455604544,7
2024-09,SILVIO MARIO AGUZZI,AV.JOSE LEON SUAREZ 348,CHIVILCOY,BUENOS AIRES,PAMPEANA,Nafta (súper) entre 92 y 95 Ron,1199.0,2024-09-01 04:39:00,SHELL C.A.P.S.A.,-34.8859,-60.007,"{""type"":""Point"",""coordinates"":[-60.007,-34.8859]}",BA,-0.6088738175214898,-1.0473197242442374,3
2024-09,SIMON DREISPIEL SA,Av. Gdor Antonio Ruiz 2260,CORRIENTES,CORRIENTES,NEA,Nafta (súper) entre 92 y 95 Ron,1146.0,2024-09-01 00:00:00,YPF,-27.467161,-58.821191,"{""type"":""Point"",""coordinates"":[-58.821191,-27.467161]}",Cts,-0.4793923956253782,-1.0266234528944558,7
2024-09,SINCHI SRL,RUTA NAC 38 KM 581 Y PADRE SEGURA,SUMALAO,CATAMARCA,,Nafta (súper) entre 92 y 95 Ron,1106.0,2024-09-01 00:00:00,SHELL C.A.P.S.A.,-28.4823236363532,-65.7375747487378,"{""type"":""Point"",""coordinates"":[-65.7375747487378,-28.4823236363532]}",C,-0.49711032607296746,-1.1473371216413586,3
2024-09,SINDICATO DE CHOFERES DE CAMIONES DE RIO NEGRO,RUTA NACIONAL 22. KM 1200,ALLEN,RIO NEGRO,PATAGONIA,Nafta (súper) entre 92 y 95 Ron,883.0,2024-09-01 00:02:00,PUMA,-39.002376,-67.848085,"{""type"":""Point"",""coordinates"":[-67.848085,-39.002376]}",RN,-0.6807198773008158,-1.184172474422977,3
2024-09,SINERCOM SRL,Avenida General Paz 7500,SANTA FE,SANTA FE,CENTRO,Nafta (súper) entre 92 y 95 Ron,1172.0,2024-09-01 00:00:00,AXION,-31.60312,-60.67456,"{""type"":""Point"",""coordinates"":[-60.67456,-31.60312]}",SF,-0.5515784979028704,-1.0589708441988506,7
2024-09,SINERGY SA,AV SARMIENTO 1510,RESISTENCIA,CHACO,,Nafta (súper) entre 92 y 95 Ron,1146.0,2024-09-01 08:50:00,AXION,-27.437049,-58.970487,"{""type"":""Point"",""coordinates"":[-58.970487,-27.437049]}",CHO,-0.47886684208101765,-1.0292291596545133,7
